date,time,lwr,swr,at,ppt,ws,ap,sh
10/3/2015 8:00,9406.33,317.0799866,169.6616364,284.1591714,9.78E-06,1.61636986,76408,0.005615978
10/3/2015 9:00,9406.38,317.0599976,271.7741089,285.4858629,0,2.734391103,76408,0.005509522
10/3/2015 10:00,9406.42,304.3599854,360.5488892,285.3466422,7.77E-05,3.601795233,76408,0.005334683
10/3/2015 11:00,9406.46,304.3599854,240.365921,285.2074215,0.000120889,3.507169328,76408,0.005254825
10/3/2015 12:00,9406.5,304.3500061,236.0634308,285.0682008,2.20E-05,4.004359714,76408,0.00520184
10/3/2015 13:00,9406.54,311.4700012,89.34843445,284.92898,1.33E-06,3.889615694,76408,0.005439127
10/3/2015 14:00,9406.58,311.480011,86.76693726,284.7897593,1.11E-06,3.590169187,76408,0.005303307
10/3/2015 15:00,9406.62,311.4899902,83.18152618,284.6505386,3.78E-06,2.577591126,76408,0.005555196
10/3/2015 16:00,9406.67,285.730011,32.98577881,282.7751538,0,2.497472505,76408,0.005488921
10/3/2015 17:00,9406.71,285.7600098,1.290747762,281.916899,2.44E-05,2.417353883,76408,0.005380596
10/3/2015 18:00,9406.75,285.7799988,0,280.4917703,6.82E-05,2.337235262,76408,0.005306434
10/3/2015 19:00,9406.79,237.3800049,0,277.761734,5.33E-06,2.25711664,76408,0.005265838
10/3/2015 20:00,9406.83,237.3800049,0,276.6882605,1.67E-06,2.176998019,76408,0.005251153
10/3/2015 21:00,9406.88,237.3899994,0,276.6310981,0,2.096879397,76408,0.005190916
10/3/2015 22:00,9406.92,223.9400024,0,276.5382297,0,2.482864125,76408,0.004964544
10/3/2015 23:00,9406.96,223.9499969,0,276.7439487,0,1.90115744,76408,0.004899447
10/4/2015 0:00,9407,330.519989,0,277.3249086,0,1.030012756,76408,0.004747712
10/4/2015 1:00,9407.04,310.0299988,0,277.7101405,0,1.382433595,76408,0.004558894
10/4/2015 2:00,9407.08,310.0499878,0,277.4754307,0,1.27345205,76408,0.004403926
10/4/2015 3:00,9407.12,310.0599976,0,277.5807471,0,1.279012333,76408,0.004315218
10/4/2015 4:00,9407.17,323.769989,0,277.3378479,0,1.414784332,76408,0.004154955
10/4/2015 5:00,9407.21,323.7600098,0,277.1811018,0,1.906111146,76408,0.003910135
10/4/2015 6:00,9407.25,323.75,1.003914952,276.9952012,0,1.21148017,76408,0.003979851
10/4/2015 7:00,9407.29,317.1000061,18.78755188,277.6090826,0,1.18458862,76408,0.004112939
10/4/2015 8:00,9407.33,317.0799866,169.6616364,279.3111787,0,1.397092522,76408,0.004220014
10/4/2015 9:00,9407.38,317.0599976,271.7741089,280.2495263,0,2.544330525,76408,0.00425903
10/4/2015 10:00,9407.42,304.3599854,360.5488892,280.7392556,0,3.161319733,76408,0.004307389
10/4/2015 11:00,9407.46,304.3599854,240.365921,280.1704161,0,2.88583299,76408,0.004303664
10/4/2015 12:00,9407.5,304.3500061,236.0634308,280.5541739,0,2.414826482,76408,0.004050425
10/4/2015 13:00,9407.54,311.4700012,89.34843445,281.1667451,0,2.587599635,76408,0.00381259
10/4/2015 14:00,9407.58,311.480011,86.76693726,281.7694888,0,1.968083026,76408,0.00443175
10/4/2015 15:00,9407.62,311.4899902,83.18152618,282.2575803,0,2.202019292,76408,0.004005606
10/4/2015 16:00,9407.67,285.730011,32.98577881,282.1462037,0,1.75851091,76408,0.003911071
10/4/2015 17:00,9407.71,285.7600098,1.290747762,281.5516494,0,1.261826004,76408,0.004186095
10/4/2015 18:00,9407.75,285.7799988,0,280.6835673,0,1.24271885,76408,0.004036154
10/4/2015 19:00,9407.79,237.3800049,0,280.3903849,0,1.11826961,76408,0.003615532
10/4/2015 20:00,9407.83,237.3800049,0,280.4149532,0,1.115843305,76408,0.003560926
10/4/2015 21:00,9407.88,237.3899994,0,280.0583844,0,0.862698789,76408,0.00350955
10/4/2015 22:00,9407.92,223.9400024,0,279.6050163,0,1.109272061,76408,0.00339839
10/4/2015 23:00,9407.96,223.9499969,0,279.9782916,0,1.127772639,76408,0.003509709
10/5/2015 0:00,9408,330.519989,0,279.8893541,0,1.054073617,76408,0.003830888
10/5/2015 1:00,9408.04,310.0299988,0,279.9953256,0,1.204908927,76408,0.004022646
10/5/2015 2:00,9408.08,310.0499878,0,279.7424353,0,1.135961419,76408,0.004441096
10/5/2015 3:00,9408.12,310.0599976,0,279.8567601,0,1.093905461,76408,0.004925067
10/5/2015 4:00,9408.17,323.769989,0,279.4598991,0,1.707760691,76408,0.005099224
10/5/2015 5:00,9408.21,323.7600098,0,279.8620013,0,1.798342754,76408,0.005319866
10/5/2015 6:00,9408.25,323.75,1.003914952,280.3717129,0,1.306106075,76408,0.005513461
10/5/2015 7:00,9408.29,317.1000061,18.78755188,282.2559424,0,1.001806958,76408,0.005590848
10/5/2015 8:00,9408.33,317.0799866,169.6616364,282.1363764,0,1.457649058,76408,0.005615978
10/5/2015 9:00,9408.38,317.0599976,271.7741089,283.040492,0,1.776202719,76408,0.005509522
10/5/2015 10:00,9408.42,304.3599854,360.5488892,284.5260589,0,2.230427282,76408,0.005334683
10/5/2015 11:00,9408.46,304.3599854,240.365921,285.1304406,0,2.481246588,76408,0.005254825
10/5/2015 12:00,9408.5,304.3500061,236.0634308,285.7954242,0,2.297453965,76408,0.00520184
10/5/2015 13:00,9408.54,311.4700012,89.34843445,286.2884293,0,2.578399895,76408,0.005439127
10/5/2015 14:00,9408.58,311.480011,86.76693726,286.3408419,0,2.582645929,76408,0.005303307
10/5/2015 15:00,9408.62,311.4899902,83.18152618,286.3375661,0,1.950795601,76408,0.005555196
10/5/2015 16:00,9408.67,285.730011,32.98577881,286.0722278,0,1.873962602,76408,0.005488921
10/5/2015 17:00,9408.71,285.7600098,1.290747762,284.629246,0,1.187116022,76408,0.005380596
10/5/2015 18:00,9408.75,285.7799988,0,282.5835205,0,1.303073194,76408,0.005306434
10/5/2015 19:00,9408.79,237.3800049,0,281.8792275,0,1.317529929,76408,0.005265838
10/5/2015 20:00,9408.83,237.3800049,0,281.9218127,0,1.303780866,76408,0.005251153
10/5/2015 21:00,9408.88,237.3899994,0,280.988215,0,1.594836401,76408,0.005190916
10/5/2015 22:00,9408.92,223.9400024,0,281.2076923,0,1.615459996,76408,0.004964544
10/5/2015 23:00,9408.96,223.9499969,0,280.0695221,0,1.651045806,76408,0.004899447
10/6/2015 0:00,9409,330.519989,0,279.9517577,0,1.68268887,76408,0.004747712
10/6/2015 1:00,9409.04,310.0299988,0,279.7404698,0,1.628198098,76408,0.004558894
10/6/2015 2:00,9409.08,310.0499878,0,279.8300624,0,1.319248562,76408,0.004403926
10/6/2015 3:00,9409.12,310.0599976,0,279.303153,0,1.245751732,76408,0.004315218
10/6/2015 4:00,9409.17,323.769989,0,280.3890745,0,1.360697944,76408,0.004154955
10/6/2015 5:00,9409.21,323.7600098,0,280.523054,0,1.314395952,76408,0.003910135
10/6/2015 6:00,9409.25,323.75,1.003914952,280.3748249,0,1.194091649,76408,0.003979851
10/6/2015 7:00,9409.29,317.1000061,18.78755188,284.0854663,0,0.923053133,76408,0.004112939
10/6/2015 8:00,9409.33,317.0799866,169.6616364,285.3237117,0,1.128985791,76408,0.004220014
10/6/2015 9:00,9409.38,317.0599976,271.7741089,286.3916165,0,1.746379383,76408,0.00425903
10/6/2015 10:00,9409.42,304.3599854,360.5488892,287.1892692,0,1.546512488,76408,0.004307389
10/6/2015 11:00,9409.46,304.3599854,240.365921,287.6822744,0,1.788334245,76408,0.004303664
10/6/2015 12:00,9409.5,304.3500061,236.0634308,287.9345095,0,1.443596706,76408,0.004050425
10/6/2015 13:00,9409.54,311.4700012,89.34843445,288.4504451,0,1.461288516,76408,0.00381259
10/6/2015 14:00,9409.58,311.480011,86.76693726,288.4422556,0,1.528820679,76408,0.00443175
10/6/2015 15:00,9409.62,311.4899902,83.18152618,288.871383,0,1.213704283,76408,0.004005606
10/6/2015 16:00,9409.67,285.730011,32.98577881,287.7870994,0,1.764879961,76408,0.003911071
10/6/2015 17:00,9409.71,285.7600098,1.290747762,285.9624891,0,1.439047384,76408,0.004186095
10/6/2015 18:00,9409.75,285.7799988,0,284.6620039,0,1.298827159,76408,0.004036154
10/6/2015 19:00,9409.79,237.3800049,0,284.2902027,0,1.297512911,76408,0.003615532
10/6/2015 20:00,9409.83,237.3800049,0,283.9216773,0,1.371009741,76408,0.003560926
10/6/2015 21:00,9409.88,237.3899994,0,283.3729839,0,1.442080266,76408,0.00350955
10/6/2015 22:00,9409.92,223.9400024,0,283.4532405,0,1.822100327,76408,0.00339839
10/6/2015 23:00,9409.96,223.9499969,0,283.9986581,0,1.721307562,76408,0.003509709
10/7/2015 0:00,9410,330.519989,0,283.7447851,0,1.434194774,76408,0.003830888
10/7/2015 1:00,9410.04,310.0299988,0,281.5713041,0,1.671669401,76408,0.004022646
10/7/2015 2:00,9410.08,310.0499878,0,281.1061431,0,1.65145019,76408,0.004441096
10/7/2015 3:00,9410.12,310.0599976,0,281.0684716,0,1.532965617,76408,0.004925067
10/7/2015 4:00,9410.17,323.769989,0,281.3452752,0,1.532055752,76408,0.005099224
10/7/2015 5:00,9410.21,323.7600098,0,279.9127759,0,1.501828033,76408,0.005319866
10/7/2015 6:00,9410.25,323.75,1.003914952,281.1117119,0,1.394868409,76408,0.005513461
10/7/2015 7:00,9410.29,317.1000061,18.78755188,285.3138844,0,0.837829161,76408,0.005590848
10/7/2015 8:00,9410.33,317.0799866,169.6616364,287.0189286,0,1.007670529,76408,0.005615978
10/7/2015 9:00,9410.38,317.0599976,271.7741089,287.6265861,0,1.478879229,76408,0.005509522
10/7/2015 10:00,9410.42,304.3599854,360.5488892,288.5585459,0,1.756994469,76408,0.005334683
10/7/2015 11:00,9410.46,304.3599854,240.365921,289.395508,0,1.910053892,76408,0.005254825
10/7/2015 12:00,9410.5,304.3500061,236.0634308,290.0637675,0,1.639621952,76408,0.00520184
10/7/2015 13:00,9410.54,311.4700012,89.34843445,290.4257413,0,1.300545792,76408,0.005439127
10/7/2015 14:00,9410.58,311.480011,86.76693726,290.6583218,0,1.371009741,76408,0.005303307
10/7/2015 15:00,9410.62,311.4899902,83.18152618,291.0579671,0,0.930736433,76408,0.005555196
10/7/2015 16:00,9410.67,285.730011,32.98577881,289.8590311,0,1.391330047,76408,0.005488921
10/7/2015 17:00,9410.71,285.7600098,1.290747762,288.1310564,0,1.479789093,76408,0.005380596
10/7/2015 18:00,9410.75,285.7799988,0,286.7765208,0,1.10623918,76408,0.005306434
10/7/2015 19:00,9410.79,237.3800049,0,286.7896239,0,1.133029634,76408,0.005265838
10/7/2015 20:00,9410.83,237.3800049,0,286.5291993,0,1.167099003,76408,0.005251153
10/7/2015 21:00,9410.88,237.3899994,0,285.6512899,0,1.10007232,76408,0.005190916
10/7/2015 22:00,9410.92,223.9400024,0,285.8199926,0,1.452189871,76408,0.004964544
10/7/2015 23:00,9410.96,223.9499969,0,285.2385414,0,1.3233935,76408,0.004899447
10/8/2015 0:00,9411,330.519989,0,285.2123351,0,1.354733276,76408,0.004747712
